City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,richards bay,-28.783,32.0377,22.75,43,6.63,0,ZA,1691066186
84,kodiak,57.79,-152.4072,11.73,94,1.54,100,US,1691066187
85,college,64.8569,-147.8028,16.56,79,2.06,75,US,1691066187
86,bel ombre,-4.6167,55.4167,25.91,78,4.63,75,SC,1691066188
87,la'ie,21.6477,-157.9253,25.98,76,0.45,7,US,1691066188
88,nemuro,43.3236,145.575,18.97,95,8.33,100,JP,1691066188
89,qaqortoq,60.7167,-46.0333,9.01,72,1.46,87,GL,1691066188
90,hadibu,12.65,54.0333,28.94,58,10.52,51,YE,1691066189
91,yellowknife,62.456,-114.3525,12.29,100,1.03,40,CA,1691066189
92,kill devil hills,36.0307,-75.676,25.55,56,0.0,0,US,1691066190
93,fort bragg,35.139,-79.006,22.11,76,1.54,100,US,1691066190
94,salinopolis,-0.6136,-47.3561,28.61,72,4.58,7,BR,1691066190
95,lebu,-37.6167,-73.65,6.63,66,8.52,92,CL,1691066191
96,hasaki,35.7333,140.8333,27.95,89,5.78,48,JP,1691066167
97,sale,34.0389,-6.8166,26.38,69,3.6,20,MA,1691066191
98,changling,44.2653,124.0005,25.39,96,6.72,100,CN,1691066191
99,hammerfest,70.6634,23.6821,24.25,53,4.63,40,NO,1691066192
100,ulladulla,-35.35,150.4667,14.19,73,3.42,0,AU,1691066006
101,coahuayana de hidalgo,18.7,-103.6583,25.5,91,1.4,86,MX,1691066192
102,kota belud,6.351,116.4305,26.86,79,1.66,100,MY,1691066193
103,olonkinbyen,70.9221,-8.7187,3.16,90,6.1,98,SJ,1691066193
104,gusinoozyorsk,51.2833,106.5,15.35,91,2.54,100,RU,1691065958
105,vilyuchinsk,52.9306,158.4028,12.15,79,2.14,93,RU,1691066194
106,west island,-12.1568,96.8225,24.99,73,9.77,40,CC,1691066194
107,santa vitoria do palmar,-33.5189,-53.3681,11.35,62,4.62,76,BR,1691066195
108,la passe,45.5549,-0.8967,21.13,70,9.78,76,FR,1691066195
109,suva,-18.1416,178.4415,21.71,88,3.09,75,FJ,1691066195
110,leer,53.2316,7.461,22.19,84,7.28,84,DE,1691066195
111,odacho-oda,35.1833,132.5,26.51,85,3.6,85,JP,1691066195
112,luganville,-15.5333,167.1667,22.95,93,4.65,100,VU,1691066196
113,frontera,26.9333,-101.45,27.16,63,1.79,0,MX,1691066196
114,kununurra,-15.7667,128.7333,21.99,53,0.0,0,AU,1691066196
115,susuman,62.7833,148.1667,8.51,71,2.25,97,RU,1691066197
116,vadso,70.0744,29.7487,28.49,53,5.66,10,NO,1691066197
117,aykhal,66.0,111.5,6.76,80,4.4,100,RU,1691066197
118,argo,37.6333,22.7333,32.1,31,3.67,0,GR,1691066197
119,smolensk,55.0,33.0,27.28,48,4.48,37,RU,1691066198
120,bad feilnbach,47.7788,12.0011,17.07,92,2.3,100,DE,1691066198
121,barcelos,41.5388,-8.6151,24.82,40,6.93,0,PT,1691066198
122,saint croix,17.7397,-64.7388,29.25,79,2.06,40,VI,1691066198
123,salem,11.65,78.1667,31.74,43,4.32,58,IN,1691065983
124,touros,-5.1989,-35.4608,28.66,62,8.19,27,BR,1691066199
125,san javier,37.8063,-0.8374,36.33,65,7.15,20,ES,1691066199
126,belel,7.05,14.4333,20.13,88,1.32,94,CM,1691066200
127,worgl,47.4833,12.0667,19.1,91,0.68,100,AT,1691066200
128,hamilton,39.1834,-84.5333,22.77,86,0.0,100,US,1691066200
129,kailua-kona,19.6406,-155.9956,25.98,84,2.57,75,US,1691066200
130,rongelap,11.1635,166.8941,28.29,78,5.32,99,MH,1691066201
131,edmundston,47.3737,-68.3251,15.97,91,3.09,0,CA,1691066201
132,ypsonas,34.6884,32.9574,31.54,58,9.26,20,CY,1691066201
133,vorgashor,67.5833,63.95,27.74,48,2.26,10,RU,1691066202
134,bredasdorp,-34.5322,20.0403,23.48,46,2.14,0,ZA,1691066202
135,utrik,11.2278,169.8474,28.23,79,7.17,100,MH,1691066203
136,garbahaarrey,3.3289,42.2209,33.21,31,9.96,97,SO,1691066203
137,puerto aysen,-45.4,-72.7,4.06,99,2.86,100,CL,1691066203
138,zouerate,22.7187,-12.4521,41.4,9,5.87,6,MR,1691066204
139,suances,43.4334,-4.0434,21.91,66,8.23,40,ES,1691066204
140,afaahiti,-17.75,-149.2833,21.93,75,4.98,60,PF,1691066204
141,dakhla,23.6848,-15.958,24.01,73,10.8,25,EH,1691066205
142,puerto ayora,-0.7393,-90.3518,23.64,93,0.45,45,EC,1691066205
143,dongola,19.1667,30.4833,42.16,20,4.73,34,SD,1691066206
144,oberderdingen,49.0656,8.8031,23.69,65,7.98,87,DE,1691066206
145,makar'yev,57.8797,43.8069,26.58,46,2.16,20,RU,1691066207
146,northam,51.0333,-4.2167,17.56,84,7.85,98,GB,1691066207
147,kavaratti,10.5669,72.642,28.14,79,7.44,75,IN,1691066207
148,yuzhno-kurilsk,44.0306,145.8556,18.79,94,5.32,100,RU,1691066208
149,new norfolk,-42.7826,147.0587,13.73,74,0.71,100,AU,1691066208
150,laguna,38.421,-121.4238,16.76,78,3.09,0,US,1691065631
151,westport,41.1415,-73.3579,22.72,76,0.45,0,US,1691066209
152,geraldton,-28.7667,114.6,8.23,87,3.09,0,AU,1691066209
153,tazovsky,67.4667,78.7,21.19,50,5.66,7,RU,1691066209
154,white rock,49.0164,-122.8026,17.3,94,2.24,6,CA,1691066210
155,usinsk,65.9939,57.5281,28.79,37,1.31,6,RU,1691066210
156,walvis bay,-22.9575,14.5053,16.53,67,4.12,0,NA,1691066211
157,haiku-pauwela,20.9219,-156.3051,23.91,79,4.12,0,US,1691066211
158,tiksi,71.6872,128.8694,3.4,98,5.48,100,RU,1691066211
159,coronon,6.8792,125.4489,28.96,87,1.76,8,PH,1691066212
160,champerico,14.3,-91.9167,26.3,77,2.69,87,GT,1691066212
161,alexandria,31.2156,29.9553,33.3,51,5.14,0,EG,1691066213
162,ceres,37.5949,-120.9577,16.56,78,1.54,0,US,1691066213
163,clarence-rockland,45.5501,-75.291,19.99,92,5.67,65,CA,1691066213
164,elliot lake,46.3834,-82.6331,19.24,88,3.45,48,CA,1691066214
165,ciudad victoria,23.7333,-99.1333,23.61,80,2.08,6,MX,1691066214
166,saipan,15.1355,145.701,28.39,100,0.0,0,MP,1691066029
167,okha,53.5739,142.9478,12.83,87,5.58,100,RU,1691066214
168,ratnagiri,16.9833,73.3,26.4,85,7.14,100,IN,1691066215
169,el trebol,-32.2008,-61.7014,12.79,60,1.79,99,AR,1691066215
170,trairi,-3.2778,-39.2689,30.73,49,6.33,1,BR,1691066215
171,cookeville,36.1628,-85.5016,22.58,99,2.57,40,US,1691066215
172,souillac,-20.5167,57.5167,24.21,73,6.17,40,MU,1691066216
173,pisco,-13.7,-76.2167,19.03,72,1.54,100,PE,1691066217
174,papatowai,-46.5619,169.4708,6.47,88,3.87,32,NZ,1691066217
175,viedma,-40.8135,-62.9967,6.26,27,5.06,2,AR,1691066217
176,mineros,-17.1167,-63.2333,26.36,39,2.26,0,BO,1691066217
